target,target_tss,locus_chrom,locus_start,locus_end,locus_midpoint,locus_width_bp,distance_to_tss_bp,distance_band,n_experiments_supporting,n_experiments_at_bed10,n_experiments_at_bed05,support_pattern,support_concentration_metric_bp,supporting_experiment_ids,biosample_summary,candidate_tier,justification
SFTPC,chr8:22156913 (+),chr8,22274200,22274455,22274327,255,117414,100-200kb_downstream,1,1,1,concentrated,255,SRX2164786,cancer_lung_line=1,low_priority_or_likely_noise,"Low-priority candidate (single experiment); likely noise or cell-line-specific. Tier driven by bed10 support count = 1 (any-threshold = 1). Locus is concentrated (width = 255 bp), in band 100-200kb_downstream relative to SFTPC TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SFTPC,chr8:22156913 (+),chr8,22287409,22287721,22287565,312,130652,100-200kb_downstream,1,1,1,concentrated,312,SRX2164786,cancer_lung_line=1,low_priority_or_likely_noise,"Low-priority candidate (single experiment); likely noise or cell-line-specific. Tier driven by bed10 support count = 1 (any-threshold = 1). Locus is concentrated (width = 312 bp), in band 100-200kb_downstream relative to SFTPC TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SFTPC,chr8:22156913 (+),chr8,22290653,22290863,22290758,210,133845,100-200kb_downstream,1,1,1,concentrated,210,SRX2164786,cancer_lung_line=1,low_priority_or_likely_noise,"Low-priority candidate (single experiment); likely noise or cell-line-specific. Tier driven by bed10 support count = 1 (any-threshold = 1). Locus is concentrated (width = 210 bp), in band 100-200kb_downstream relative to SFTPC TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SFTPC,chr8:22156913 (+),chr8,22292335,22292505,22292420,170,135507,100-200kb_downstream,1,1,1,concentrated,170,SRX2164786,cancer_lung_line=1,low_priority_or_likely_noise,"Low-priority candidate (single experiment); likely noise or cell-line-specific. Tier driven by bed10 support count = 1 (any-threshold = 1). Locus is concentrated (width = 170 bp), in band 100-200kb_downstream relative to SFTPC TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SFTPC,chr8:22156913 (+),chr8,22327571,22327804,22327687,233,170774,100-200kb_downstream,3,2,3,concentrated,233,SRX2164786;SRX366169;SRX366170,cancer_lung_line=3,weak_distal_candidate,"Weak distal candidate. Tier driven by bed10 support count = 2 (any-threshold = 3). Locus is concentrated (width = 233 bp), in band 100-200kb_downstream relative to SFTPC TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SFTPC,chr8:22156913 (+),chr8,22336118,22336249,22336183,131,179270,100-200kb_downstream,2,0,2,concentrated,131,SRX366169;SRX366170,cancer_lung_line=2,weak_distal_candidate,"Weak distal candidate. Tier driven by bed10 support count = 0 (any-threshold = 2). Locus is concentrated (width = 131 bp), in band 100-200kb_downstream relative to SFTPC TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SFTPC,chr8:22156913 (+),chr8,22352775,22353098,22352936,323,196023,100-200kb_downstream,5,3,5,concentrated,323,SRX12008015;SRX174819;SRX2164786;SRX366169;SRX366170,cancer_lung_line=5,moderate_distal_candidate,"Moderate distal candidate. Tier driven by bed10 support count = 3 (any-threshold = 5). Locus is concentrated (width = 323 bp), in band 100-200kb_downstream relative to SFTPC TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62208144,62208919,62208531,775,-196572,100-200kb_upstream,6,1,6,concentrated,775,SRX12008006;SRX12008007;SRX12008015;SRX12008017;SRX174819;SRX2164786,cancer_lung_line=6,moderate_distal_candidate,"Moderate distal candidate. Tier driven by bed10 support count = 1 (any-threshold = 6). Locus is concentrated (width = 775 bp), in band 100-200kb_upstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62217313,62217392,62217352,79,-187751,100-200kb_upstream,1,0,1,concentrated,79,SRX2164786,cancer_lung_line=1,low_priority_or_likely_noise,"Low-priority candidate (single experiment); likely noise or cell-line-specific. Tier driven by bed10 support count = 0 (any-threshold = 1). Locus is concentrated (width = 79 bp), in band 100-200kb_upstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62245367,62245446,62245406,79,-159697,100-200kb_upstream,1,0,1,concentrated,79,SRX2164786,cancer_lung_line=1,low_priority_or_likely_noise,"Low-priority candidate (single experiment); likely noise or cell-line-specific. Tier driven by bed10 support count = 0 (any-threshold = 1). Locus is concentrated (width = 79 bp), in band 100-200kb_upstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62267214,62267319,62267266,105,-137837,100-200kb_upstream,1,1,1,concentrated,105,SRX2164786,cancer_lung_line=1,low_priority_or_likely_noise,"Low-priority candidate (single experiment); likely noise or cell-line-specific. Tier driven by bed10 support count = 1 (any-threshold = 1). Locus is concentrated (width = 105 bp), in band 100-200kb_upstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62279980,62280175,62280077,195,-125026,100-200kb_upstream,2,1,2,concentrated,195,SRX366169;SRX366170,cancer_lung_line=2,weak_distal_candidate,"Weak distal candidate. Tier driven by bed10 support count = 1 (any-threshold = 2). Locus is concentrated (width = 195 bp), in band 100-200kb_upstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62295650,62295749,62295699,99,-109404,100-200kb_upstream,1,0,1,concentrated,99,SRX2164786,cancer_lung_line=1,low_priority_or_likely_noise,"Low-priority candidate (single experiment); likely noise or cell-line-specific. Tier driven by bed10 support count = 0 (any-threshold = 1). Locus is concentrated (width = 99 bp), in band 100-200kb_upstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62311264,62311464,62311364,200,-93739,50-100kb_upstream,4,2,4,concentrated,200,SRX12008015;SRX174819;SRX2164786;SRX366169,cancer_lung_line=4,weak_distal_candidate,"Weak distal candidate. Tier driven by bed10 support count = 2 (any-threshold = 4). Locus is concentrated (width = 200 bp), in band 50-100kb_upstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62326687,62326970,62326828,283,-78275,50-100kb_upstream,6,5,6,concentrated,283,SRX12008015;SRX174815;SRX174819;SRX2164786;SRX366169;SRX366170,cancer_lung_line=6,strong_distal_candidate,"Strong distal candidate: warrants Hi-C / promoter-capture / perturbation follow-up. Tier driven by bed10 support count = 5 (any-threshold = 6). Locus is concentrated (width = 283 bp), in band 50-100kb_upstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62337230,62337470,62337350,240,-67753,50-100kb_upstream,3,2,3,concentrated,240,SRX12008015;SRX174819;SRX2164786,cancer_lung_line=3,weak_distal_candidate,"Weak distal candidate. Tier driven by bed10 support count = 2 (any-threshold = 3). Locus is concentrated (width = 240 bp), in band 50-100kb_upstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62341032,62341340,62341186,308,-63917,50-100kb_upstream,1,0,1,concentrated,308,SRX12008017,cancer_lung_line=1,low_priority_or_likely_noise,"Low-priority candidate (single experiment); likely noise or cell-line-specific. Tier driven by bed10 support count = 0 (any-threshold = 1). Locus is concentrated (width = 308 bp), in band 50-100kb_upstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62472326,62472907,62472616,581,67513,50-100kb_downstream,5,3,5,concentrated,581,SRX12008015;SRX174819;SRX2164786;SRX366169;SRX366170,cancer_lung_line=5,moderate_distal_candidate,"Moderate distal candidate. Tier driven by bed10 support count = 3 (any-threshold = 5). Locus is concentrated (width = 581 bp), in band 50-100kb_downstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62487757,62487960,62487858,203,82755,50-100kb_downstream,1,0,1,concentrated,203,SRX12008017,cancer_lung_line=1,low_priority_or_likely_noise,"Low-priority candidate (single experiment); likely noise or cell-line-specific. Tier driven by bed10 support count = 0 (any-threshold = 1). Locus is concentrated (width = 203 bp), in band 50-100kb_downstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62497136,62497594,62497365,458,92262,50-100kb_downstream,6,6,6,concentrated,458,SRX12008015;SRX174819;SRX2164786;SRX2164788;SRX366169;SRX366170,cancer_lung_line=6,strong_distal_candidate,"Strong distal candidate: warrants Hi-C / promoter-capture / perturbation follow-up. Tier driven by bed10 support count = 6 (any-threshold = 6). Locus is concentrated (width = 458 bp), in band 50-100kb_downstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62501499,62501733,62501616,234,96513,50-100kb_downstream,1,0,1,concentrated,234,SRX12008017,cancer_lung_line=1,low_priority_or_likely_noise,"Low-priority candidate (single experiment); likely noise or cell-line-specific. Tier driven by bed10 support count = 0 (any-threshold = 1). Locus is concentrated (width = 234 bp), in band 50-100kb_downstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62504368,62504740,62504554,372,99451,50-100kb_downstream,4,3,4,concentrated,372,SRX174815;SRX2164786;SRX366169;SRX366170,cancer_lung_line=4,moderate_distal_candidate,"Moderate distal candidate. Tier driven by bed10 support count = 3 (any-threshold = 4). Locus is concentrated (width = 372 bp), in band 50-100kb_downstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62509802,62509945,62509873,143,104770,100-200kb_downstream,1,1,1,concentrated,143,SRX2164786,cancer_lung_line=1,low_priority_or_likely_noise,"Low-priority candidate (single experiment); likely noise or cell-line-specific. Tier driven by bed10 support count = 1 (any-threshold = 1). Locus is concentrated (width = 143 bp), in band 100-200kb_downstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62534332,62534655,62534493,323,129390,100-200kb_downstream,10,3,10,concentrated,323,SRX12008006;SRX12008007;SRX12008008;SRX12008010;SRX12008011;SRX12008017;SRX12008018;SRX2164786;SRX366169;SRX366170,cancer_lung_line=10,strong_distal_candidate,"Strong distal candidate: warrants Hi-C / promoter-capture / perturbation follow-up. Tier driven by bed10 support count = 3 (any-threshold = 10). Locus is concentrated (width = 323 bp), in band 100-200kb_downstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62543339,62543487,62543413,148,138310,100-200kb_downstream,3,1,3,concentrated,148,SRX2164786;SRX366169;SRX366170,cancer_lung_line=3,weak_distal_candidate,"Weak distal candidate. Tier driven by bed10 support count = 1 (any-threshold = 3). Locus is concentrated (width = 148 bp), in band 100-200kb_downstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62545610,62545880,62545745,270,140642,100-200kb_downstream,2,1,2,concentrated,270,SRX366169;SRX366170,cancer_lung_line=2,weak_distal_candidate,"Weak distal candidate. Tier driven by bed10 support count = 1 (any-threshold = 2). Locus is concentrated (width = 270 bp), in band 100-200kb_downstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62553500,62554330,62553915,830,148812,100-200kb_downstream,3,3,3,concentrated,830,SRX2164786;SRX366169;SRX366170,cancer_lung_line=3,moderate_distal_candidate,"Moderate distal candidate. Tier driven by bed10 support count = 3 (any-threshold = 3). Locus is concentrated (width = 830 bp), in band 100-200kb_downstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62556475,62557472,62556973,997,151870,100-200kb_downstream,5,2,5,concentrated,997,SRX12008015;SRX174819;SRX2164786;SRX366169;SRX366170,cancer_lung_line=5,moderate_distal_candidate,"Moderate distal candidate. Tier driven by bed10 support count = 2 (any-threshold = 5). Locus is concentrated (width = 997 bp), in band 100-200kb_downstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62560558,62560948,62560753,390,155650,100-200kb_downstream,6,4,6,concentrated,390,SRX12008015;SRX174815;SRX174819;SRX2164786;SRX366169;SRX366170,cancer_lung_line=6,moderate_distal_candidate,"Moderate distal candidate. Tier driven by bed10 support count = 4 (any-threshold = 6). Locus is concentrated (width = 390 bp), in band 100-200kb_downstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62573848,62574212,62574030,364,168927,100-200kb_downstream,4,2,4,concentrated,364,SRX12008015;SRX174819;SRX2164786;SRX366169,cancer_lung_line=4,weak_distal_candidate,"Weak distal candidate. Tier driven by bed10 support count = 2 (any-threshold = 4). Locus is concentrated (width = 364 bp), in band 100-200kb_downstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62591442,62591746,62591594,304,186491,100-200kb_downstream,5,2,5,concentrated,304,SRX12008015;SRX174819;SRX2164786;SRX366169;SRX366170,cancer_lung_line=5,moderate_distal_candidate,"Moderate distal candidate. Tier driven by bed10 support count = 2 (any-threshold = 5). Locus is concentrated (width = 304 bp), in band 100-200kb_downstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62593667,62593788,62593727,121,188624,100-200kb_downstream,2,1,2,concentrated,121,SRX2164786;SRX366169,cancer_lung_line=2,weak_distal_candidate,"Weak distal candidate. Tier driven by bed10 support count = 1 (any-threshold = 2). Locus is concentrated (width = 121 bp), in band 100-200kb_downstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SCGB1A1,chr11:62405103 (+),chr11,62599262,62599483,62599372,221,194269,100-200kb_downstream,2,0,2,concentrated,221,SRX2164786;SRX366169,cancer_lung_line=2,weak_distal_candidate,"Weak distal candidate. Tier driven by bed10 support count = 0 (any-threshold = 2). Locus is concentrated (width = 221 bp), in band 100-200kb_downstream relative to SCGB1A1 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
ABCA3,chr16:2340749 (-),chr16,2140722,2140830,2140776,108,199973,100-200kb_downstream,1,1,1,concentrated,108,SRX2164786,cancer_lung_line=1,low_priority_or_likely_noise,"Low-priority candidate (single experiment); likely noise or cell-line-specific. Tier driven by bed10 support count = 1 (any-threshold = 1). Locus is concentrated (width = 108 bp), in band 100-200kb_downstream relative to ABCA3 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
ABCA3,chr16:2340749 (-),chr16,2143414,2143863,2143638,449,197111,100-200kb_downstream,2,0,2,concentrated,449,SRX366169;SRX366170,cancer_lung_line=2,weak_distal_candidate,"Weak distal candidate. Tier driven by bed10 support count = 0 (any-threshold = 2). Locus is concentrated (width = 449 bp), in band 100-200kb_downstream relative to ABCA3 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
ABCA3,chr16:2340749 (-),chr16,2155403,2155753,2155578,350,185171,100-200kb_downstream,7,3,7,concentrated,350,SRX12008014;SRX12008015;SRX12008019;SRX174817;SRX174819;SRX2164786;SRX366169,cancer_lung_line=7,strong_distal_candidate,"Strong distal candidate: warrants Hi-C / promoter-capture / perturbation follow-up. Tier driven by bed10 support count = 3 (any-threshold = 7). Locus is concentrated (width = 350 bp), in band 100-200kb_downstream relative to ABCA3 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
ABCA3,chr16:2340749 (-),chr16,2162895,2163615,2163255,720,177494,100-200kb_downstream,4,2,4,concentrated,720,SRX12008015;SRX174819;SRX366169;SRX366170,cancer_lung_line=4,weak_distal_candidate,"Weak distal candidate. Tier driven by bed10 support count = 2 (any-threshold = 4). Locus is concentrated (width = 720 bp), in band 100-200kb_downstream relative to ABCA3 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
ABCA3,chr16:2340749 (-),chr16,2194997,2195128,2195062,131,145687,100-200kb_downstream,1,1,1,concentrated,131,SRX2164786,cancer_lung_line=1,low_priority_or_likely_noise,"Low-priority candidate (single experiment); likely noise or cell-line-specific. Tier driven by bed10 support count = 1 (any-threshold = 1). Locus is concentrated (width = 131 bp), in band 100-200kb_downstream relative to ABCA3 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
ABCA3,chr16:2340749 (-),chr16,2205314,2205508,2205411,194,135338,100-200kb_downstream,3,0,3,concentrated,194,SRX12008015;SRX174819;SRX2164786,cancer_lung_line=3,weak_distal_candidate,"Weak distal candidate. Tier driven by bed10 support count = 0 (any-threshold = 3). Locus is concentrated (width = 194 bp), in band 100-200kb_downstream relative to ABCA3 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
ABCA3,chr16:2340749 (-),chr16,2219459,2219667,2219563,208,121186,100-200kb_downstream,5,2,5,concentrated,208,SRX12008015;SRX174819;SRX2164786;SRX366169;SRX366170,cancer_lung_line=5,moderate_distal_candidate,"Moderate distal candidate. Tier driven by bed10 support count = 2 (any-threshold = 5). Locus is concentrated (width = 208 bp), in band 100-200kb_downstream relative to ABCA3 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
ABCA3,chr16:2340749 (-),chr16,2223230,2223672,2223451,442,117298,100-200kb_downstream,3,0,3,concentrated,442,SRX12008015;SRX174819;SRX366169,cancer_lung_line=3,weak_distal_candidate,"Weak distal candidate. Tier driven by bed10 support count = 0 (any-threshold = 3). Locus is concentrated (width = 442 bp), in band 100-200kb_downstream relative to ABCA3 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
ABCA3,chr16:2340749 (-),chr16,2231273,2231642,2231457,369,109292,100-200kb_downstream,8,5,8,concentrated,369,SRX12008006;SRX12008007;SRX12008010;SRX12008017;SRX12008018;SRX2164786;SRX366169;SRX366170,cancer_lung_line=8,strong_distal_candidate,"Strong distal candidate: warrants Hi-C / promoter-capture / perturbation follow-up. Tier driven by bed10 support count = 5 (any-threshold = 8). Locus is concentrated (width = 369 bp), in band 100-200kb_downstream relative to ABCA3 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
ABCA3,chr16:2340749 (-),chr16,2239014,2239181,2239097,167,101652,100-200kb_downstream,2,0,2,concentrated,167,SRX12008015;SRX174819,cancer_lung_line=2,weak_distal_candidate,"Weak distal candidate. Tier driven by bed10 support count = 0 (any-threshold = 2). Locus is concentrated (width = 167 bp), in band 100-200kb_downstream relative to ABCA3 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
ABCA3,chr16:2340749 (-),chr16,2250173,2250374,2250273,201,90476,50-100kb_downstream,1,0,1,concentrated,201,SRX2164786,cancer_lung_line=1,low_priority_or_likely_noise,"Low-priority candidate (single experiment); likely noise or cell-line-specific. Tier driven by bed10 support count = 0 (any-threshold = 1). Locus is concentrated (width = 201 bp), in band 50-100kb_downstream relative to ABCA3 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
ABCA3,chr16:2340749 (-),chr16,2251764,2252474,2252119,710,88630,50-100kb_downstream,1,0,1,concentrated,710,SRX366169,cancer_lung_line=1,low_priority_or_likely_noise,"Low-priority candidate (single experiment); likely noise or cell-line-specific. Tier driven by bed10 support count = 0 (any-threshold = 1). Locus is concentrated (width = 710 bp), in band 50-100kb_downstream relative to ABCA3 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
ABCA3,chr16:2340749 (-),chr16,2267045,2268168,2267606,1123,73143,50-100kb_downstream,2,0,2,moderately_concentrated,1123,SRX2164786;SRX366169,cancer_lung_line=2,weak_distal_candidate,"Weak distal candidate. Tier driven by bed10 support count = 0 (any-threshold = 2). Locus is moderately_concentrated (width = 1123 bp), in band 50-100kb_downstream relative to ABCA3 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
ABCA3,chr16:2340749 (-),chr16,2399387,2399683,2399535,296,-58786,50-100kb_upstream,5,5,5,concentrated,296,SRX12008015;SRX174819;SRX2164786;SRX366169;SRX366170,cancer_lung_line=5,strong_distal_candidate,"Strong distal candidate: warrants Hi-C / promoter-capture / perturbation follow-up. Tier driven by bed10 support count = 5 (any-threshold = 5). Locus is concentrated (width = 296 bp), in band 50-100kb_upstream relative to ABCA3 TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
